DocumentID,Text,Label,LabelType,LabelName,DocumentType,LengthCharacters,HasEmoji,cleaned_text,tokens,LabelMapped
147773,"So far so good. After purchasing but before wearing these, I was out in the garden and found a deer tick on my (white) shirt. So I thought I would do the test of the gaiters I had seen in videos: i put the tick on one of them. It was flat on the floor, not on my leg. The tick did not seem interested in or get stuck in the fibers, as claimed. However, it did eventually start turn upside down (and back right side up) a few times and look generally unhappy. As it looked like it was about dead I took it off (to see if it would revive) and it did not, it was dead dead. The whole process took about 4 minutes. If in this 4 minutes, one of those flips caused it to fall off my leg, that would be fine, I would not care if it was dead or not. But I am still not sure how long it would take to climb from bottom to top and whether it would be exposed to enough permethrin to cause it to fall off in that time, or to fall off after it climbed above the gaiter (and onto me!) So that is what I will try the next time I get one!",4,StarRating,4 Stars,Review,1023,0,so far so good after purchasing but before wearing these i was out in the garden and found a deer tick on my white shirt so i thought i would do the test of the gaiters i had seen in videos i put the tick on one of them it was flat on the floor not on my leg the tick did not seem interested in or get stuck in the fibers as claimed however it did eventually start turn upside down and back right side up a few times and look generally unhappy as it looked like it was about dead i took it off to see if it would revive and it did not it was dead dead the whole process took about minutes if in this minutes one of those flips caused it to fall off my leg that would be fine i would not care if it was dead or not but i am still not sure how long it would take to climb from bottom to top and whether it would be exposed to enough permethrin to cause it to fall off in that time or to fall off after it climbed above the gaiter and onto me so that is what i will try the next time i get one,"['far', 'good', 'purchasing', 'wearing', 'garden', 'found', 'deer', 'tick', 'white', 'shirt', 'thought', 'would', 'test', 'gaiters', 'seen', 'videos', 'put', 'tick', 'one', 'flat', 'floor', 'leg', 'tick', 'seem', 'interested', 'get', 'stuck', 'fibers', 'claimed', 'however', 'eventually', 'start', 'turn', 'upside', 'back', 'right', 'side', 'times', 'look', 'generally', 'unhappy', 'looked', 'like', 'dead', 'took', 'see', 'would', 'revive', 'dead', 'dead', 'whole', 'process', 'took', 'minutes', 'minutes', 'one', 'flips', 'caused', 'fall', 'leg', 'would', 'fine', 'would', 'care', 'dead', 'still', 'sure', 'long', 'would', 'take', 'climb', 'bottom', 'top', 'whether', 'would', 'exposed', 'enough', 'permethrin', 'cause', 'fall', 'time', 'fall', 'climbed', 'gaiter', 'onto', 'try', 'next', 'time', 'get', 'one']",1
108820,keeps losing the signal to the phone. Even if you are right there with it. Aside from that it is accurate and works very well.,3,StarRating,3 Stars,Review,126,0,keeps losing the signal to the phone even if you are right there with it aside from that it is accurate and works very well,"['keeps', 'losing', 'signal', 'phone', 'even', 'right', 'aside', 'accurate', 'works', 'well']",0
192194,Very pleased! Arrived ahead of expected delivery!,5,StarRating,5 Stars,Review,49,0,very pleased arrived ahead of expected delivery,"['pleased', 'arrived', 'ahead', 'expected', 'delivery']",1
243467,Murray get his 1st break of the match to stay in this 2nd set 2-5. Can the No.3 seed continue to turn things around? #USOpen #ESPNTennis,0,Sentiment,Neutral,Tweet,136,0,murray get his st break of the match to stay in this nd set can the no seed continue to turn things around usopen espntennis,"['murray', 'get', 'st', 'break', 'match', 'stay', 'nd', 'set', 'seed', 'continue', 'turn', 'things', 'around', 'usopen', 'espntennis']",0
78288,Weirdly snug in all the wrong places,2,StarRating,2 Stars,Review,36,0,weirdly snug in all the wrong places,"['weirdly', 'snug', 'wrong', 'places']",-1
19644,"This kit is worthless. With no instructions, no documentation, I can't find anything on the Internet on how to use it. I tried replacing a button with it, nothing holding in place, no results at all, this is cheap junk. I advise to not buy this item, thank you",1,StarRating,1 Star,Review,260,0,this kit is worthless with no instructions no documentation i cant find anything on the internet on how to use it i tried replacing a button with it nothing holding in place no results at all this is cheap junk i advise to not buy this item thank you,"['kit', 'worthless', 'instructions', 'documentation', 'cant', 'find', 'anything', 'internet', 'use', 'tried', 'replacing', 'button', 'nothing', 'holding', 'place', 'results', 'cheap', 'junk', 'advise', 'buy', 'item', 'thank']",-1
238793,I guess Zayn is going to be at the VMA's tomorrow and I gotta go to bed so I can prepare myself. ZAYN WILL BE ON MY TV AGHH!!,1,Sentiment,Positive,Tweet,125,0,i guess zayn is going to be at the vmas tomorrow and i gotta go to bed so i can prepare myself zayn will be on my tv aghh,"['guess', 'zayn', 'going', 'vmas', 'tomorrow', 'got', 'ta', 'go', 'bed', 'prepare', 'zayn', 'tv', 'aghh']",1
174080,I really like the flavor of these. They also worked great. I took several before a job interview and they really helped calm my nerves.,5,StarRating,5 Stars,Review,135,0,i really like the flavor of these they also worked great i took several before a job interview and they really helped calm my nerves,"['really', 'like', 'flavor', 'also', 'worked', 'great', 'took', 'several', 'job', 'interview', 'really', 'helped', 'calm', 'nerves']",1
139699,"Bought a pair at Walmart. Same exact pair. Same exact price. These are better quality, but much tighter, as if made for a big headed child. Great sound, but occasionally cut out which is why I was replacing my old pair.",4,StarRating,4 Stars,Review,219,0,bought a pair at walmart same exact pair same exact price these are better quality but much tighter as if made for a big headed child great sound but occasionally cut out which is why i was replacing my old pair,"['bought', 'pair', 'walmart', 'exact', 'pair', 'exact', 'price', 'better', 'quality', 'much', 'tighter', 'made', 'big', 'headed', 'child', 'great', 'sound', 'occasionally', 'cut', 'replacing', 'old', 'pair']",1
214808,STAR wishes all the #students at @BrandeisU a #stressfree time registering for classes. May sage be with you @brandeis_lts,1,Sentiment,Positive,Tweet,122,0,star wishes all the students at brandeisu a stressfree time registering for classes may sage be with you brandeis_lts,"['star', 'wishes', 'students', 'brandeisu', 'stressfree', 'time', 'registering', 'classes', 'may', 'sage', 'brandeis_lts']",1
52294,The booties are well made and stylish but at her usual shoe size they are too tight for my wife to wear with anything but her thinnest stockings. We know that they have a built in sock lining but the inability to wear her normal casual socks was a deal breaker for us.,2,StarRating,2 Stars,Review,268,0,the booties are well made and stylish but at her usual shoe size they are too tight for my wife to wear with anything but her thinnest stockings we know that they have a built in sock lining but the inability to wear her normal casual socks was a deal breaker for us,"['booties', 'well', 'made', 'stylish', 'usual', 'shoe', 'size', 'tight', 'wife', 'wear', 'anything', 'thinnest', 'stockings', 'know', 'built', 'sock', 'lining', 'inability', 'wear', 'normal', 'casual', 'socks', 'deal', 'breaker', 'us']",-1
196360,Great pop. Shipped with care.,5,StarRating,5 Stars,Review,29,0,great pop shipped with care,"['great', 'pop', 'shipped', 'care']",1
10661,"Have had the case for a month and it cracked. Not made well. Definitely disappointed that the return window is closed, or I would definitely be returning. Would not recommend.",1,StarRating,1 Star,Review,175,0,have had the case for a month and it cracked not made well definitely disappointed that the return window is closed or i would definitely be returning would not recommend,"['case', 'month', 'cracked', 'made', 'well', 'definitely', 'disappointed', 'return', 'window', 'closed', 'would', 'definitely', 'returning', 'would', 'recommend']",-1
72765,It stretched out after only a few washes. It doesn't fit my frame and i am pretty disappointed.,2,StarRating,2 Stars,Review,95,0,it stretched out after only a few washes it doesnt fit my frame and i am pretty disappointed,"['stretched', 'washes', 'doesnt', 'fit', 'frame', 'pretty', 'disappointed']",-1
219254,@chipscoggins Mr. Scoggins\u002c will you be down in Knoxville next Saturday? If so\u002c you should stop by and say hi.,0,Sentiment,Neutral,Tweet,120,0,chipscoggins mr scogginsuc will you be down in knoxville next saturday if souc you should stop by and say hi,"['chipscoggins', 'mr', 'scogginsuc', 'knoxville', 'next', 'saturday', 'souc', 'stop', 'say', 'hi']",0
2638,Very disappointed came with broken leg.,1,StarRating,1 Star,Review,39,0,very disappointed came with broken leg,"['disappointed', 'came', 'broken', 'leg']",-1
65842,"The blue tabs on the bottom are made of cheap plastic. I have two that broke, (one was broken during shipping) and it makes it difficult to dispense properly.",2,StarRating,2 Stars,Review,158,0,the blue tabs on the bottom are made of cheap plastic i have two that broke one was broken during shipping and it makes it difficult to dispense properly,"['blue', 'tabs', 'bottom', 'made', 'cheap', 'plastic', 'two', 'broke', 'one', 'broken', 'shipping', 'makes', 'difficult', 'dispense', 'properly']",-1
43043,"size chart was not accurate, dress was too big, had to order smaller size and double pay for dress in order to have in time for holiday. then i had to pay extra shipping on top of it.",2,StarRating,2 Stars,Review,183,0,size chart was not accurate dress was too big had to order smaller size and double pay for dress in order to have in time for holiday then i had to pay extra shipping on top of it,"['size', 'chart', 'accurate', 'dress', 'big', 'order', 'smaller', 'size', 'double', 'pay', 'dress', 'order', 'time', 'holiday', 'pay', 'extra', 'shipping', 'top']",-1
178970,Just started playing this game. I find it very addicting only wish the lives were more,5,StarRating,5 Stars,Review,86,0,just started playing this game i find it very addicting only wish the lives were more,"['started', 'playing', 'game', 'find', 'addicting', 'wish', 'lives']",1
164764,"Everything good! It works very well .Ibought this grinder because I wanted to save time and control the quality of ground meat I was using at home, The item was delivered on time . Easy to set up and, by following the instructions, was easy to use. If you are looking for a good light-duty home grinder, this is a top pick in my opinion.",5,StarRating,5 Stars,Review,337,0,everything good it works very well ibought this grinder because i wanted to save time and control the quality of ground meat i was using at home the item was delivered on time easy to set up and by following the instructions was easy to use if you are looking for a good lightduty home grinder this is a top pick in my opinion,"['everything', 'good', 'works', 'well', 'ibought', 'grinder', 'wanted', 'save', 'time', 'control', 'quality', 'ground', 'meat', 'using', 'home', 'item', 'delivered', 'time', 'easy', 'set', 'following', 'instructions', 'easy', 'use', 'looking', 'good', 'lightduty', 'home', 'grinder', 'top', 'pick', 'opinion']",1
78655,i have had many dog crates over the years this is supper out of alignment and a pain to open and close,2,StarRating,2 Stars,Review,102,0,i have had many dog crates over the years this is supper out of alignment and a pain to open and close,"['many', 'dog', 'crates', 'years', 'supper', 'alignment', 'pain', 'open', 'close']",-1
196876,"These solid, sturdy benches are excellent quality for the money. I ordered four to use as dining seating and had custom slipcovers made. The seat cushioning is very comfortable and holds its shape. The bench storage is an added bonus.",5,StarRating,5 Stars,Review,234,0,these solid sturdy benches are excellent quality for the money i ordered four to use as dining seating and had custom slipcovers made the seat cushioning is very comfortable and holds its shape the bench storage is an added bonus,"['solid', 'sturdy', 'benches', 'excellent', 'quality', 'money', 'ordered', 'four', 'use', 'dining', 'seating', 'custom', 'slipcovers', 'made', 'seat', 'cushioning', 'comfortable', 'holds', 'shape', 'bench', 'storage', 'added', 'bonus']",1
76344,the silverware was fading and turn to black color,2,StarRating,2 Stars,Review,49,0,the silverware was fading and turn to black color,"['silverware', 'fading', 'turn', 'black', 'color']",-1
160145,"This unit works very well. It has all the bells and whistles, yet is compact and easy to understand. I can recommend it.",5,StarRating,5 Stars,Review,120,0,this unit works very well it has all the bells and whistles yet is compact and easy to understand i can recommend it,"['unit', 'works', 'well', 'bells', 'whistles', 'yet', 'compact', 'easy', 'understand', 'recommend']",1
228334,@virtualCableTV We suggest you upgrade to Windows 10. See Andre's post: http://t.co/IxRoh1b5LO to troubleshoot any issues you may run into.,1,Sentiment,Positive,Tweet,139,0,virtualcabletv we suggest you upgrade to windows see andres post httptcoixrohblo to troubleshoot any issues you may run into,"['virtualcabletv', 'suggest', 'upgrade', 'windows', 'see', 'andres', 'post', 'httptcoixrohblo', 'troubleshoot', 'issues', 'may', 'run']",1
24393,Never received order would like a refund,1,StarRating,1 Star,Review,40,0,never received order would like a refund,"['never', 'received', 'order', 'would', 'like', 'refund']",-1
78025,Doesn't come in the colors shown. I got a pair in gray and olive green. Weird? Got a whole in one of the pairs after the second washing. They are comfortable and true to size but cheaply made.,2,StarRating,2 Stars,Review,192,0,doesnt come in the colors shown i got a pair in gray and olive green weird got a whole in one of the pairs after the second washing they are comfortable and true to size but cheaply made,"['doesnt', 'come', 'colors', 'shown', 'got', 'pair', 'gray', 'olive', 'green', 'weird', 'got', 'whole', 'one', 'pairs', 'second', 'washing', 'comfortable', 'true', 'size', 'cheaply', 'made']",-1
94450,"The pads for the watch are spacious enough, but the circumference of the case isn't large enough to close without great effort stretching the material if the watch face is large.",3,StarRating,3 Stars,Review,178,0,the pads for the watch are spacious enough but the circumference of the case isnt large enough to close without great effort stretching the material if the watch face is large,"['pads', 'watch', 'spacious', 'enough', 'circumference', 'case', 'isnt', 'large', 'enough', 'close', 'without', 'great', 'effort', 'stretching', 'material', 'watch', 'face', 'large']",0
119184,"Still have signal issues even with this in place and 10 ft from it. Maybe our main router, but still.",3,StarRating,3 Stars,Review,101,0,still have signal issues even with this in place and ft from it maybe our main router but still,"['still', 'signal', 'issues', 'even', 'place', 'ft', 'maybe', 'main', 'router', 'still']",0
119815,We always sleep with sound machines and our children do now as well... this one is not loud it doesn’t mask noises like my child likes..I will be returning and trying another one,3,StarRating,3 Stars,Review,178,0,we always sleep with sound machines and our children do now as well this one is not loud it doesnt mask noises like my child likesi will be returning and trying another one,"['always', 'sleep', 'sound', 'machines', 'children', 'well', 'one', 'loud', 'doesnt', 'mask', 'noises', 'like', 'child', 'likesi', 'returning', 'trying', 'another', 'one']",0
137775,"The international verson is a few mm shorter causing the case to be to small for the N. America verson. While the 4 star is not for the actual product,as it was too small for my model, the customer service is perfect. If you have the International version of the g6 play, I think it is called g6 forge or something, I would recommend the case, it felt very sturdy and dependable.",4,StarRating,4 Stars,Review,379,0,the international verson is a few mm shorter causing the case to be to small for the n america verson while the star is not for the actual productas it was too small for my model the customer service is perfect if you have the international version of the g play i think it is called g forge or something i would recommend the case it felt very sturdy and dependable,"['international', 'verson', 'mm', 'shorter', 'causing', 'case', 'small', 'n', 'america', 'verson', 'star', 'actual', 'productas', 'small', 'model', 'customer', 'service', 'perfect', 'international', 'version', 'g', 'play', 'think', 'called', 'g', 'forge', 'something', 'would', 'recommend', 'case', 'felt', 'sturdy', 'dependable']",1
8818,"Do not buy this garbage. I used it twice and it never worked again. The second time I used it, it got so hot I thought it was going to melt. Probably not good for the device as well. I would recommend buying authentic form Apple.",1,StarRating,1 Star,Review,229,0,do not buy this garbage i used it twice and it never worked again the second time i used it it got so hot i thought it was going to melt probably not good for the device as well i would recommend buying authentic form apple,"['buy', 'garbage', 'used', 'twice', 'never', 'worked', 'second', 'time', 'used', 'got', 'hot', 'thought', 'going', 'melt', 'probably', 'good', 'device', 'well', 'would', 'recommend', 'buying', 'authentic', 'form', 'apple']",-1
79770,"Both the left and right triggers on the controller are almost constantly active. Meaning, when I play an FPS, my character is constantly aiming and shooting. I'm not sure if it's a solenoid issue or what, but it's definitely the controller itself. I've done all the troubleshooting I can aside from taking it apart. Looks and feels like a 360 controller. That's the only compliment I can give it. Do yourself a favor and spend the extra money on a genuine Microsoft product.",2,StarRating,2 Stars,Review,474,0,both the left and right triggers on the controller are almost constantly active meaning when i play an fps my character is constantly aiming and shooting im not sure if its a solenoid issue or what but its definitely the controller itself ive done all the troubleshooting i can aside from taking it apart looks and feels like a controller thats the only compliment i can give it do yourself a favor and spend the extra money on a genuine microsoft product,"['left', 'right', 'triggers', 'controller', 'almost', 'constantly', 'active', 'meaning', 'play', 'fps', 'character', 'constantly', 'aiming', 'shooting', 'im', 'sure', 'solenoid', 'issue', 'definitely', 'controller', 'ive', 'done', 'troubleshooting', 'aside', 'taking', 'apart', 'looks', 'feels', 'like', 'controller', 'thats', 'compliment', 'give', 'favor', 'spend', 'extra', 'money', 'genuine', 'microsoft', 'product']",-1
146069,"Somedays she likes, other days, not so, cuz she is spoilt, but does like the pounce around.",4,StarRating,4 Stars,Review,91,0,somedays she likes other days not so cuz she is spoilt but does like the pounce around,"['somedays', 'likes', 'days', 'cuz', 'spoilt', 'like', 'pounce', 'around']",1
29938,Save your money... $5 each really should be a Dollar Store item at $1 each. BOOOOO.,1,StarRating,1 Star,Review,83,0,save your money each really should be a dollar store item at each booooo,"['save', 'money', 'really', 'dollar', 'store', 'item', 'booooo']",-1
239605,March 18th until Uncharted 4. Guess the Nathan Drake collection will tide me over on PS4 until then.,0,Sentiment,Neutral,Tweet,100,0,march th until uncharted guess the nathan drake collection will tide me over on ps until then,"['march', 'th', 'uncharted', 'guess', 'nathan', 'drake', 'collection', 'tide', 'ps']",0
14282,"So I found the product given a lot of thought with clothes to wipe dust and water. However, the sticker ended up making the first glass cover a bit dirty, while the second one just fell off - I don't even know when, I just noticed today. It's been barely 5 days. Disappointed as I thought I had struck a good deal! :(",1,StarRating,1 Star,Review,317,0,so i found the product given a lot of thought with clothes to wipe dust and water however the sticker ended up making the first glass cover a bit dirty while the second one just fell off i dont even know when i just noticed today its been barely days disappointed as i thought i had struck a good deal,"['found', 'product', 'given', 'lot', 'thought', 'clothes', 'wipe', 'dust', 'water', 'however', 'sticker', 'ended', 'making', 'first', 'glass', 'cover', 'bit', 'dirty', 'second', 'one', 'fell', 'dont', 'even', 'know', 'noticed', 'today', 'barely', 'days', 'disappointed', 'thought', 'struck', 'good', 'deal']",-1
48495,Did not like that there were seems that showed on the front and back . These seems did not show in the picture and this was the one thing I liked,2,StarRating,2 Stars,Review,145,0,did not like that there were seems that showed on the front and back these seems did not show in the picture and this was the one thing i liked,"['like', 'seems', 'showed', 'front', 'back', 'seems', 'show', 'picture', 'one', 'thing', 'liked']",-1
37228,Piece of crap. Did not hold up!!,1,StarRating,1 Star,Review,32,0,piece of crap did not hold up,"['piece', 'crap', 'hold']",-1
109558,"Solid, heavy build. It is NOT crystal. It is glass with OK clarity and some manufacturing flaws such as air bubbles. Disappointed as after reading reviews was expecting a better quality product.",3,StarRating,3 Stars,Review,194,0,solid heavy build it is not crystal it is glass with ok clarity and some manufacturing flaws such as air bubbles disappointed as after reading reviews was expecting a better quality product,"['solid', 'heavy', 'build', 'crystal', 'glass', 'ok', 'clarity', 'manufacturing', 'flaws', 'air', 'bubbles', 'disappointed', 'reading', 'reviews', 'expecting', 'better', 'quality', 'product']",0
